City,City_ID,Latitude,Longitutde,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Clyde River,5924351,70.4692,-68.5914,CA,-32.87,75,0,1.54,2022-03-20 02:44:06
Torbay,6167817,47.6666,-52.7314,CA,-3.01,74,0,2.24,2022-03-20 02:44:06
Maniitsoq,3421982,65.4167,-52.9,GL,-24.05,91,93,2.66,2022-03-20 02:44:07
Bereda,3105522,43.2686,-7.5406,ES,6.19,100,68,0.36,2022-03-20 02:44:09
Puerto Ayora,3652764,-0.7393,-90.3518,EC,25.73,80,12,1.98,2022-03-20 02:44:10
Mitsamiouli,921786,-11.3847,43.2844,KM,27.65,78,100,2.63,2022-03-20 02:44:11
Ushuaia,3833367,-54.8,-68.3,AR,3.49,87,100,4.96,2022-03-20 02:44:12
Querecotillo,3693057,-4.8378,-80.6456,PE,25.9,57,100,4.36,2022-03-20 02:44:12
Qui Nhon,1568574,13.7667,109.2333,VN,27.01,79,100,2.55,2022-03-20 02:42:55
Jacareacanga,3397763,-6.2222,-57.7528,BR,22.63,98,55,0.48,2022-03-20 02:44:14
Sokółka,758651,53.4072,23.5023,PL,-2.97,64,2,1.47,2022-03-20 02:44:16
Lebu,3883457,-37.6167,-73.65,CL,12.35,74,100,2.68,2022-03-20 02:44:18
Poykovskiy,1494276,61.2333,73.3333,RU,-4.84,80,0,5.0,2022-03-20 02:44:19
Rikitea,4030556,-23.1203,-134.9692,PF,27.08,74,13,4.43,2022-03-20 02:44:20
Vera Cruz,3445307,-12.6333,-41.0333,BR,20.49,86,75,1.05,2022-03-20 02:44:20
Ryōtsu-minato,1853371,38.0833,138.4333,JP,5.7,57,100,6.29,2022-03-20 02:42:48
Klaksvík,2618795,62.2266,-6.589,FO,8.51,80,21,11.58,2022-03-20 02:44:22
Bredasdorp,1015776,-34.5322,20.0403,ZA,20.24,87,45,3.47,2022-03-20 02:44:23
Abu Samrah,172515,35.3029,37.1841,SY,-0.52,46,0,2.32,2022-03-20 02:44:24
Labuan,1733782,5.2767,115.2417,MY,28.2,78,20,1.54,2022-03-20 02:44:25
Peniche,2264923,39.3558,-9.3811,PT,15.06,74,100,6.44,2022-03-20 02:44:25
New Ulm,5039173,44.3125,-94.4605,US,8.21,83,0,3.6,2022-03-20 02:44:26
Inírida,3671450,3.8653,-67.9239,CO,22.59,93,100,0.43,2022-03-20 02:44:27
Upernavik,3418910,72.7868,-56.1549,GL,-20.33,97,100,4.14,2022-03-20 02:44:28
Punta Arenas,3874787,-53.15,-70.9167,CL,9.06,76,0,6.17,2022-03-20 02:44:28
Hermanus,3366880,-34.4187,19.2345,ZA,21.56,88,31,4.34,2022-03-20 02:44:29
Ola,2122574,59.5833,151.2833,RU,-1.03,72,82,6.65,2022-03-20 02:44:30
Katsuura,2112309,35.1333,140.3,JP,11.03,53,78,4.45,2022-03-20 02:42:09
Trairi,3386177,-3.2778,-39.2689,BR,24.52,87,74,2.11,2022-03-20 02:44:33
Chinsali,918905,-10.5414,32.0816,ZM,17.98,94,100,3.14,2022-03-20 02:44:34
Natá,3703938,8.3333,-80.5167,PA,25.38,77,80,4.83,2022-03-20 02:44:35
Naze,1855540,28.3667,129.4833,JP,17.51,59,53,2.73,2022-03-20 02:41:15
Shimoda,1852357,34.6667,138.95,JP,13.2,68,51,1.27,2022-03-20 02:39:46
Busselton,2075265,-33.65,115.3333,AU,24.82,53,100,2.51,2022-03-20 02:44:38
Mossamedes,3347019,-15.1961,12.1522,AO,23.38,71,74,3.95,2022-03-20 02:44:38
Zemio,235826,5.0314,25.1361,CF,22.31,33,98,1.58,2022-03-20 02:44:39
Le Port,935616,-20.9373,55.2919,RE,25.0,83,98,2.84,2022-03-20 02:44:40
San Patricio,4726521,28.017,-97.5169,US,18.24,56,0,3.44,2022-03-20 02:44:42
Tabory,1490364,58.5198,64.5495,RU,-5.1,97,93,2.63,2022-03-20 02:44:44
Pingliang,1798760,35.5392,106.6861,CN,10.76,31,92,2.14,2022-03-20 02:44:44
Yellowknife,6185377,62.456,-114.3525,CA,-7.71,100,100,6.17,2022-03-20 02:44:45
Gamboma,2259947,-1.8764,15.8644,CG,23.26,82,9,1.8,2022-03-20 02:44:46
Bluff,2206939,-46.6,168.3333,NZ,19.89,73,57,7.89,2022-03-20 02:44:47
Kumul,1529484,42.8,93.45,CN,6.24,27,100,1.1,2022-03-20 02:44:47
Faanui,4034551,-16.4833,-151.75,PF,27.96,74,23,7.25,2022-03-20 02:44:48
Petropavl,1520172,54.8753,69.1628,KZ,-13.01,56,0,8.0,2022-03-20 02:44:49
Atuona,4020109,-9.8,-139.0333,PF,26.02,77,9,5.39,2022-03-20 02:44:50
Cape Town,3369157,-33.9258,18.4232,ZA,20.06,87,0,5.66,2022-03-20 02:44:25
Praia da Vitória,3372760,38.7333,-27.0667,PT,13.2,87,20,6.33,2022-03-20 02:44:51
Flinders,6255012,-34.5833,150.8552,AU,24.6,60,0,3.0,2022-03-20 02:44:52
Portland,5746545,45.5234,-122.6762,US,9.32,60,22,1.34,2022-03-20 02:44:53
Neuquén,3843123,-38.9516,-68.0591,AR,17.94,55,0,4.12,2022-03-20 02:44:54
Sept-Îles,6144312,50.2001,-66.3821,CA,-3.76,56,100,5.14,2022-03-20 02:44:55
Barrow,5880054,71.2906,-156.7887,US,-21.99,71,0,4.12,2022-03-20 02:44:57
Ituaçu,3460531,-13.8133,-41.2967,BR,21.53,78,40,1.41,2022-03-20 02:44:58
Tiksi,2015306,71.6872,128.8694,RU,-12.13,78,100,11.01,2022-03-20 02:44:59
Narsaq,3421719,60.9167,-46.05,GL,-9.88,79,24,2.67,2022-03-20 02:45:01
Tateyama,1850523,34.9833,139.8667,JP,11.13,63,83,4.44,2022-03-20 02:44:06
Kalmunai,1242110,7.4167,81.8167,LK,26.81,74,2,1.19,2022-03-20 02:45:03
Moshi,153209,-3.35,37.3333,TZ,20.25,82,100,1.16,2022-03-20 02:45:03
Barsovo,1510842,61.1667,73.1667,RU,-4.93,96,100,6.37,2022-03-20 02:45:05
Gulariyā,1283368,28.2333,81.3333,NP,28.4,25,2,0.59,2022-03-20 02:45:06
Souillac,933995,-20.5167,57.5167,MU,24.21,94,40,1.54,2022-03-20 02:45:06
Qaanaaq,3831208,77.484,-69.3632,GL,-22.18,94,100,2.85,2022-03-20 02:45:08
Chutove,710342,49.7104,35.1603,UA,-6.34,95,40,2.84,2022-03-20 02:45:08
Kutum,371745,14.2,24.6667,SD,15.49,12,22,2.68,2022-03-20 02:45:09
Paarl,3363094,-33.7338,18.9752,ZA,19.45,83,12,3.46,2022-03-20 02:45:10
Norman Wells,6089245,65.282,-126.8329,CA,-16.98,71,100,5.66,2022-03-20 02:45:11
Nikolskoye,546105,59.7035,30.7861,RU,1.6,82,0,4.06,2022-03-20 02:45:12
Rocha,3440777,-34.4833,-54.3333,UY,12.03,71,37,1.46,2022-03-20 02:45:13
Ribeira Grande,3372707,38.5167,-28.7,PT,14.44,66,96,9.56,2022-03-20 02:45:14
Mataura,6201424,-46.1927,168.8643,NZ,19.71,45,45,1.81,2022-03-20 02:45:15
Tasiilaq,3424607,65.6145,-37.6368,GL,-8.91,70,14,3.67,2022-03-20 02:45:16
Kwang Binh,1582886,17.4833,106.6,VN,30.0,60,20,1.47,2022-03-20 02:41:44
Vila Velha,3445026,-20.3297,-40.2925,BR,25.97,91,0,2.06,2022-03-20 02:45:19
Tura,1254046,25.5198,90.2201,IN,28.59,29,3,2.78,2022-03-20 02:45:20
Sadsadan,1691194,16.9333,120.8667,PH,24.09,67,79,0.45,2022-03-20 02:41:16
Prieska,964090,-29.6641,22.7474,ZA,17.38,83,90,1.97,2022-03-20 02:45:22
Disna,629055,55.568,28.1971,BY,-1.06,91,8,1.76,2022-03-20 02:41:28
Xichang,1789647,27.8964,102.2634,CN,22.85,27,0,1.61,2022-03-20 02:42:16
Constitución,3893726,-35.3333,-72.4167,CL,14.54,54,100,4.15,2022-03-20 02:45:24
Caruray,1718234,10.3094,119.0128,PH,30.8,63,100,2.08,2022-03-20 02:45:25
Trelew,3833883,-43.249,-65.3051,AR,11.52,58,100,8.45,2022-03-20 02:45:26
Dudinka,1507116,69.4058,86.1778,RU,-7.43,94,100,6.56,2022-03-20 02:45:27
Vostok,2013279,46.4856,135.8833,RU,-5.32,74,100,3.23,2022-03-20 02:40:57
Cerro Punta,3712636,8.85,-82.5667,PA,10.65,88,59,2.02,2022-03-20 02:45:29
Tromsø,6453316,69.6496,18.957,NO,4.65,100,75,4.63,2022-03-20 02:45:30
Thompson,6165406,55.7435,-97.8558,CA,-4.91,63,75,2.06,2022-03-20 02:45:30
Kenai,5866063,60.5544,-151.2583,US,3.03,65,0,6.17,2022-03-20 02:45:31
Pangnirtung,6096551,66.1451,-65.7125,CA,-30.14,77,13,2.75,2022-03-20 02:45:32
Mar del Plata,3430863,-38.0023,-57.5575,AR,13.26,67,0,4.63,2022-03-20 02:45:33
Hilo,5855927,19.7297,-155.09,US,25.85,78,100,5.66,2022-03-20 02:45:34
Sitka,5557293,57.0531,-135.33,US,3.94,75,100,3.6,2022-03-20 02:45:35
Rapid Valley,5768244,44.0625,-103.1463,US,11.44,33,0,4.92,2022-03-20 02:45:36
Fukuechō,1863997,32.6881,128.8419,JP,12.2,62,75,3.6,2022-03-20 02:45:37
Jamestown,5122534,42.097,-79.2353,US,8.34,62,100,6.69,2022-03-20 02:45:37
Port Elizabeth,964420,-33.918,25.5701,ZA,20.73,97,100,1.03,2022-03-20 02:42:12
Birjand,140463,32.8663,59.2211,IR,4.26,26,0,4.12,2022-03-20 02:45:39
Belmopan,3582672,17.25,-88.7667,BZ,26.21,97,40,0.76,2022-03-20 02:45:40
Bengkulu,1649150,-3.8004,102.2655,ID,28.2,66,96,1.33,2022-03-20 02:45:41
Santa Cruz Cabrália,3450288,-16.2781,-39.0247,BR,25.13,88,40,0.51,2022-03-20 02:45:41
Necochea,3430443,-38.5473,-58.7368,AR,10.39,66,61,4.63,2022-03-20 02:45:42
Geraldton,2070998,-28.7667,114.6,AU,25.23,61,69,6.17,2022-03-20 02:41:08
Jumla,1283285,29.2747,82.1838,NP,16.75,26,51,1.24,2022-03-20 02:45:46
Tual,1623197,-5.6667,132.75,ID,29.03,74,100,2.75,2022-03-20 02:45:48
Guerrero Negro,4021858,27.9769,-114.0611,MX,15.79,82,0,6.41,2022-03-20 02:45:48
Novokruchininskiy,2018925,51.7833,113.7667,RU,-8.15,59,39,3.2,2022-03-20 02:45:49
Vaini,4032243,-21.2,-175.2,TO,28.09,83,100,2.06,2022-03-20 02:45:52
Kjøpsvik,3150002,68.097,16.3742,NO,8.43,93,100,4.1,2022-03-20 02:45:53
Līsakovsk,1521315,52.5369,62.4936,KZ,-17.89,91,5,4.14,2022-03-20 02:45:54
Kahului,5847411,20.8947,-156.47,US,29.01,64,40,5.36,2022-03-20 02:45:55
Lavrentiya,4031637,65.5833,-171.0,RU,-16.94,76,0,0.66,2022-03-20 02:45:56
Fortuna,5563839,40.5982,-124.1573,US,9.25,77,75,6.17,2022-03-20 02:45:57
Lodeynoye Pole,534560,60.726,33.5531,RU,-2.24,93,5,3.16,2022-03-20 02:45:58
Touros,3386213,-5.1989,-35.4608,BR,25.44,85,98,4.01,2022-03-20 02:45:59
Yuncheng,1785738,35.0231,110.9928,CN,9.94,51,94,0.33,2022-03-20 02:46:00
Kandrian,2094746,-6.2167,149.55,PG,29.77,69,94,2.91,2022-03-20 02:46:00
Coronado,5339663,32.6859,-117.1831,US,15.8,81,75,3.6,2022-03-20 02:46:01
Sajanan,2467368,37.0573,9.2426,TN,11.51,94,100,10.23,2022-03-20 02:46:02
Castro,3466704,-24.7911,-50.0119,BR,17.28,95,99,3.36,2022-03-20 02:46:03
Bogorodskoye,575521,56.55,37.8833,RU,-2.3,96,74,3.47,2022-03-20 02:46:05
Saint Paul Harbor,5866583,57.79,-152.4072,US,2.73,75,100,5.14,2022-03-20 02:45:16
Meulaboh,1214488,4.1363,96.1285,ID,24.07,92,100,2.59,2022-03-20 02:46:07
Ürümqi,1529102,43.801,87.6005,CN,-0.47,86,0,2.0,2022-03-20 02:42:10
Port Hedland,2063042,-20.3167,118.5667,AU,36.03,38,49,2.57,2022-03-20 02:46:08
Buraidah,107304,26.326,43.975,SA,15.25,22,0,4.65,2022-03-20 02:44:27
Severo-Kuril'sk,2121385,50.6789,156.125,RU,0.22,98,100,13.37,2022-03-20 02:46:10
Morondava,1058381,-20.2833,44.2833,MG,24.74,87,100,3.29,2022-03-20 02:46:11
Honiara,2108502,-9.4333,159.95,SB,30.67,65,59,3.18,2022-03-20 02:46:11
Semnan,116402,35.5729,53.3971,IR,6.91,26,0,2.06,2022-03-20 02:46:13
Tuktoyaktuk,6170031,69.4541,-133.0374,CA,-26.0,76,75,3.09,2022-03-20 02:46:14
Lantawan,1715775,10.6167,123.9833,PH,29.83,71,100,3.39,2022-03-20 02:46:15
Valparaíso,3868626,-33.0393,-71.6273,CL,17.49,60,0,1.54,2022-03-20 02:46:16
Antofagasta,3899539,-23.65,-70.4,CL,17.6,81,49,1.39,2022-03-20 02:43:47
Saint-Philippe,935215,-21.3585,55.7679,RE,24.77,91,85,4.48,2022-03-20 02:46:18
Bilāri,1275646,28.6333,78.8,IN,27.54,28,1,1.02,2022-03-20 02:46:18
Dunedin,2191562,-45.8742,170.5036,NZ,16.14,70,59,5.85,2022-03-20 02:44:57
Bambous Virieux,1106677,-20.3428,57.7575,MU,24.56,94,40,1.54,2022-03-20 02:46:21
Gaoua,2577162,10.2992,-3.2508,BF,27.99,57,72,3.91,2022-03-20 02:46:22
Husavik,2629833,66.0449,-17.3389,IS,7.02,70,100,12.51,2022-03-20 02:46:23
Yangi Marg`ilon,1513491,40.4272,71.7189,UZ,3.4,81,100,1.03,2022-03-20 02:46:24
Shirgaon,1256486,19.7,72.7,IN,26.66,65,72,1.05,2022-03-20 02:46:25
Sexsmith,6144602,55.35,-118.786,CA,2.64,70,75,3.6,2022-03-20 02:46:25
Fort Nelson,5955902,58.8053,-122.7002,CA,3.77,41,75,1.54,2022-03-20 02:46:26
Mendi,2090990,-6.1761,143.6513,PG,21.23,67,94,2.31,2022-03-20 02:46:28
Shenkursk,494884,62.1091,42.896,RU,0.65,90,97,4.02,2022-03-20 02:46:29
Kuril'sk,2123979,45.2333,147.8833,RU,-1.21,96,100,14.57,2022-03-20 02:46:29
Hithadhoo,1282256,-0.6,73.0833,MV,28.43,74,100,7.26,2022-03-20 02:46:30
Shangqiu,1783934,34.45,115.65,CN,9.98,45,87,2.41,2022-03-20 02:46:31
Hīrna,334700,9.2167,41.1,ET,18.62,49,95,1.6,2022-03-20 02:46:32
Talnakh,1490256,69.4865,88.3972,RU,-7.66,94,100,4.7,2022-03-20 02:46:32
Nanortalik,3421765,60.1432,-45.2371,GL,-9.97,88,77,3.78,2022-03-20 02:46:34
Nagorsk,523583,59.3172,50.8078,RU,-1.78,88,100,4.41,2022-03-20 02:46:35
Nālūt,2214432,30.3333,10.85,LY,13.07,44,0,3.35,2022-03-20 02:46:37
Nyurba,2018735,63.2842,118.3319,RU,-8.41,91,100,4.61,2022-03-20 02:46:38
Bethel,5282297,41.3712,-73.414,US,14.38,92,75,2.06,2022-03-20 02:46:39
Richards Bay,962367,-28.783,32.0377,ZA,18.71,80,74,1.81,2022-03-20 02:46:40
Extremoz,3400567,-5.7056,-35.3072,BR,26.0,94,40,0.51,2022-03-20 02:46:40
Lagoa,3372964,39.05,-27.9833,PT,13.86,66,97,10.58,2022-03-20 02:46:41
Straža,3200385,45.78,15.0728,SI,1.37,83,29,0.76,2022-03-20 02:46:43
Cidreira,3466165,-30.1811,-50.2056,BR,18.69,83,25,2.86,2022-03-20 02:46:26
Ilo,3938415,-17.6394,-71.3375,PE,21.11,84,68,3.38,2022-03-20 02:46:45
Alofi,4036284,-19.0595,-169.9187,NU,29.94,66,89,4.12,2022-03-20 02:46:46
Angoche,1052944,-16.2325,39.9086,MZ,24.58,90,100,5.12,2022-03-20 02:46:46
Labuhan,8079926,-6.8844,112.2051,ID,28.17,74,100,1.99,2022-03-20 02:46:47
Kiama,2161515,-34.6833,150.8667,AU,24.71,62,0,3.11,2022-03-20 02:46:48
Westport,4845585,41.1415,-73.3579,US,15.08,95,75,1.54,2022-03-20 02:46:49
Magadan,2123628,59.5667,150.8,RU,-1.37,76,88,6.61,2022-03-20 02:46:50
Obo,236950,5.3998,26.4869,CF,23.87,28,85,0.81,2022-03-20 02:46:51
Soyo,2236967,-6.1349,12.3689,AO,25.06,87,54,2.79,2022-03-20 02:46:53
Rome,5134295,43.2128,-75.4557,US,12.08,91,100,3.6,2022-03-20 02:46:53
Mount Isa,2065594,-20.7333,139.5,AU,36.87,18,40,3.09,2022-03-20 02:46:55
Huarmey,3939168,-10.0681,-78.1522,PE,21.8,80,100,3.85,2022-03-20 02:46:55
Nemuro,2128975,43.3236,145.575,JP,-0.59,80,82,10.37,2022-03-20 02:46:56
Saint Andrews,4593724,34.0454,-81.1293,US,20.77,41,20,5.14,2022-03-20 02:46:57
Leningradskiy,2123814,69.3833,178.4167,RU,-18.19,82,21,0.26,2022-03-20 02:46:58
Liancheng,1804119,24.0519,105.075,CN,25.29,44,14,4.41,2022-03-20 02:46:59
Aswān,359792,24.0934,32.907,EG,14.61,24,0,3.6,2022-03-20 02:46:59
Kalakamati,933390,-20.5929,27.3121,BW,16.36,61,63,4.99,2022-03-20 02:47:00
Saskylakh,2017155,71.9167,114.0833,RU,-13.49,94,100,0.86,2022-03-20 02:47:01
Fes,2548885,34.0372,-4.9998,MA,11.14,87,0,2.06,2022-03-20 02:53:16
Butaritari,2110227,3.0707,172.7902,KI,26.98,82,35,7.87,2022-03-20 02:51:20
Aras,3129839,42.5617,-2.356,ES,8.24,87,40,4.12,2022-03-20 02:56:18
Palmer,4946620,42.1584,-72.3287,US,12.7,86,100,2.06,2022-03-20 02:53:25
Praia,3374333,14.9215,-23.5087,CV,20.3,68,40,7.72,2022-03-20 02:56:20
Camabatela,2242885,-8.1881,15.375,AO,16.48,96,100,0.9,2022-03-20 02:56:20
Berezovyy,2026786,51.6667,135.7,RU,-4.32,82,100,0.76,2022-03-20 02:56:23
Iaçu,3461638,-12.7672,-40.2117,BR,20.9,93,3,0.71,2022-03-20 02:56:25
Haysville,4272788,37.5645,-97.3523,US,14.41,41,0,2.57,2022-03-20 02:56:26
Salinas,5391295,36.6777,-121.6555,US,12.45,82,100,3.6,2022-03-20 02:53:14
Marawi,1701054,7.9986,124.2928,PH,26.36,68,99,2.46,2022-03-20 02:56:28
Jasper,4392354,37.2001,-94.3502,US,13.03,51,0,3.09,2022-03-20 02:52:16
College,5859699,64.8569,-147.8028,US,-5.0,61,100,2.57,2022-03-20 02:56:29
Shakawe,933077,-18.3667,21.85,BW,18.97,96,100,1.97,2022-03-20 02:56:30
Bafoulabé,2460755,13.8065,-10.8321,ML,29.88,17,31,1.2,2022-03-20 02:56:31
Bintulu,1737486,3.1667,113.0333,MY,27.23,88,20,1.54,2022-03-20 02:56:32
Pevek,2122090,69.7008,170.3133,RU,-17.52,77,12,6.35,2022-03-20 02:56:33
Itoman,1861280,26.1247,127.6694,JP,22.01,60,20,4.12,2022-03-20 02:56:34
Houma,4328010,29.5958,-90.7195,US,15.0,60,0,0.0,2022-03-20 02:52:21
Japura,1642773,-0.3167,102.35,ID,27.31,82,100,1.45,2022-03-20 02:54:05
Riyadh,108410,24.6877,46.7219,SA,16.08,16,0,3.79,2022-03-20 02:52:25
Vao,2137773,-22.6667,167.4833,NC,25.09,75,100,3.72,2022-03-20 02:56:40
Suntar,2015913,62.1444,117.6319,RU,-6.61,90,100,4.29,2022-03-20 02:56:41
Airai,1651810,-8.9266,125.4092,TL,24.6,52,60,0.4,2022-03-20 02:51:59
Grand-Santi,3381538,4.25,-54.3833,GF,22.49,100,100,0.67,2022-03-20 02:56:43
Pemangkat,1631637,1.1667,108.9667,ID,29.55,64,53,0.79,2022-03-20 02:52:52
Ucluelet,6171633,48.9329,-125.5528,CA,6.72,83,30,3.39,2022-03-20 02:53:20
South Kazakhstan Region,1524787,43.0,68.0,KZ,0.59,52,100,3.26,2022-03-20 02:56:45
Mayo,4362001,38.8876,-76.5119,US,19.06,76,100,0.0,2022-03-20 02:56:46
High Level,5975004,58.5169,-117.136,CA,4.06,56,20,2.06,2022-03-20 02:56:48
Saint George,5546220,37.1041,-113.5841,US,21.33,13,0,5.66,2022-03-20 02:53:20
Yar-Sale,1486321,66.8333,70.8333,RU,-8.34,90,42,5.87,2022-03-20 02:56:50
San Jose,5392171,37.3394,-121.895,US,12.51,85,75,4.12,2022-03-20 02:54:42
Española,5467024,35.9911,-106.0806,US,10.91,22,94,0.89,2022-03-20 02:56:51
Cap Malheureux,934649,-19.9842,57.6142,MU,25.26,89,28,1.37,2022-03-20 02:56:52
Kamaishi,2112444,39.2667,141.8833,JP,5.94,71,41,4.96,2022-03-20 02:56:53
Elizabeth City,4465088,36.2946,-76.2511,US,22.23,84,81,1.34,2022-03-20 02:56:54
Codrington,2171099,-38.2667,141.9667,AU,20.67,65,100,4.07,2022-03-20 02:56:55
Hindupur,1270079,13.8289,77.4933,IN,26.1,58,61,3.79,2022-03-20 02:54:42
Qalyub,350789,30.1792,31.2056,EG,10.6,61,100,5.17,2022-03-20 02:56:58
Broome,5110365,42.2506,-75.833,US,12.14,72,37,2.24,2022-03-20 02:57:00
Gebre Guracha,337152,9.8,38.4,ET,13.09,69,74,0.82,2022-03-20 02:57:01
Mattru,2409215,7.6244,-11.8332,SL,22.83,93,63,0.19,2022-03-20 02:57:02
Ahipara,2194098,-35.1667,173.1667,NZ,19.38,94,100,7.39,2022-03-20 02:52:49
Goundi,2431736,9.3627,17.366,TD,25.89,14,35,2.04,2022-03-20 02:57:03
Ilulissat,3423146,69.2167,-51.1,GL,-22.16,100,100,1.53,2022-03-20 02:57:04
Gimli,5961417,50.6336,-96.9907,CA,4.01,60,100,2.06,2022-03-20 02:57:05
Archidona,2521673,37.0965,-4.3887,ES,10.78,93,91,2.63,2022-03-20 02:57:06
Mount Gambier,2156643,-37.8333,140.7667,AU,20.95,60,100,5.14,2022-03-20 02:57:07
Los Llanos de Aridane,2514651,28.6585,-17.9182,ES,13.86,76,75,4.12,2022-03-20 02:57:07
Coyhaique,3894426,-45.5752,-72.0662,CL,12.34,76,100,0.51,2022-03-20 02:57:05
Cabo San Lucas,3985710,22.8909,-109.9124,MX,21.45,58,36,4.27,2022-03-20 02:56:09
Waipawa,2206874,-41.4122,175.5153,NZ,18.02,63,95,5.93,2022-03-20 02:57:10
Taltal,3870243,-25.4,-70.4833,CL,18.76,82,28,0.81,2022-03-20 02:57:11
Tudela,3107418,42.0617,-1.6045,ES,9.5,79,76,4.04,2022-03-20 02:55:10
Saldanha,3361934,-33.0117,17.9442,ZA,20.03,83,26,3.11,2022-03-20 02:56:50
Neryungri,2019309,56.6709,124.6491,RU,-13.43,75,41,1.33,2022-03-20 02:56:09
Mitú,3674676,1.1983,-70.1733,CO,22.49,98,100,0.4,2022-03-20 02:57:15
Ust-Nera,2120048,64.5667,143.2,RU,-12.64,84,99,1.47,2022-03-20 02:57:16
Kruisfontein,986717,-34.0033,24.7314,ZA,18.82,97,53,1.35,2022-03-20 02:57:18
Kangaatsiaq,3422683,68.3065,-53.4641,GL,-21.98,99,100,3.07,2022-03-20 02:57:19
Grand Gaube,934479,-20.0064,57.6608,MU,25.21,89,26,1.25,2022-03-20 02:57:20
Bariloche,7647007,-41.1456,-71.3082,AR,14.86,47,75,4.63,2022-03-20 02:57:21
Beringovskiy,2126710,63.05,179.3167,RU,-8.96,71,9,1.1,2022-03-20 02:52:50
Goderich,5962442,43.7501,-81.7165,CA,2.17,100,100,3.09,2022-03-20 02:57:23
Waingapu,1622318,-9.6567,120.2641,ID,27.61,80,92,1.72,2022-03-20 02:57:24
Dakar,2253354,14.6937,-17.4441,SN,18.07,94,7,3.09,2022-03-20 02:55:05
Tsumeb,3352593,-19.2333,17.7167,NA,17.05,91,5,5.79,2022-03-20 02:57:25
Kodinsk,1503037,58.6881,99.1844,RU,-4.66,93,100,5.24,2022-03-20 02:57:26
Katobu,1640972,-4.9408,122.5276,ID,29.91,69,100,1.41,2022-03-20 02:57:27
Zeya,2012593,53.75,127.2667,RU,-8.52,74,93,1.69,2022-03-20 02:56:19
Departamento de Maldonado,3441890,-34.6667,-54.9167,UY,15.66,76,39,0.6,2022-03-20 02:57:29
Coquimbo,3893629,-29.9533,-71.3436,CL,15.85,88,100,1.03,2022-03-20 02:57:30
Kaitangata,2208248,-46.2817,169.8464,NZ,17.01,67,62,5.18,2022-03-20 02:57:31
Liseleje,2617538,56.0053,11.9483,DK,1.7,87,0,1.34,2022-03-20 02:57:32
Half Moon Bay,5354943,37.4636,-122.4286,US,12.66,89,75,8.75,2022-03-20 02:57:33
Amga,2027786,60.8953,131.9608,RU,-9.93,80,100,1.61,2022-03-20 02:57:34
São Filipe,3374210,14.8961,-24.4956,CV,20.83,69,6,6.3,2022-03-20 02:57:35
Teguise,2510573,29.0605,-13.564,ES,15.12,67,0,3.09,2022-03-20 02:57:36
Cabedelo,3404558,-6.9811,-34.8339,BR,26.37,80,37,3.76,2022-03-20 02:56:14
Mataram,1635882,-8.5833,116.1167,ID,31.45,75,97,1.17,2022-03-20 02:49:10
Bud,4255151,39.447,-86.1758,US,6.01,94,100,4.64,2022-03-20 02:57:40
